Country_Code,Life_Expectancy_At_Birth_1960,Life_Expectancy_At_Birth_2013,Countries_2012_Dataset,Codes_2012_Dataset,Regions_2012_Dataset
TLS,33.7271219512195,67.5223658536585,Timor-Leste,TLS,Asia
TON,61.3645365853659,72.6403414634147,Tonga,TON,Oceania
TTO,62.6575853658537,70.3052926829268,Trinidad and Tobago,TTO,The Americas
TUN,42.009756097561,73.6463414634147,Tunisia,TUN,Africa
TUR,45.3844146341463,75.1759512195122,Turkey,TUR,Europe
TZA,43.6538780487805,64.2918292682927,Tanzania,TZA,Africa
UGA,43.9835609756098,57.7676829268293,Uganda,UGA,Africa
UKR,68.2995365853659,71.159512195122,Ukraine,UKR,Europe
URY,67.8963902439025,76.8361951219512,Uruguay,URY,The Americas
USA,69.7707317073171,78.8414634146341,United States,USA,The Americas
UZB,58.8855365853659,68.2275853658537,Uzbekistan,UZB,Asia
VCT,57.7238780487805,72.8108780487805,St. Vincent and the Grenadines,VCT,The Americas
VEN,59.2851219512195,74.0744146341464,"Venezuela, RB",VEN,The Americas
VIR,63.7302195121951,79.6243902439024,Virgin Islands (U.S.),VIR,The Americas
VNM,59.0670243902439,75.756487804878,Vietnam,VNM,Asia
VUT,46.4874878048781,71.669243902439,Vanuatu,VUT,Oceania
WSM,49.969512195122,73.2503902439024,Samoa,WSM,Oceania
YEM,34.3638048780488,63.583512195122,"Yemen, Rep.",YEM,Middle East
ZAF,49.0362926829268,56.7365853658537,South Africa,ZAF,Africa
COD,41.0180487804878,58.2719268292683,"Congo, Dem. Rep.",COD,Africa
ZMB,45.1098048780488,59.2373658536585,Zambia,ZMB,Africa
ZWE,51.5424634146342,55.633,Zimbabwe,ZWE,Africa
